programa,usuario,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
3,11,,2005649,, ,, ,2024591, ,2046082, ,2065031, 
3,37,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,39,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,413,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,40,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,44,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,47,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091, , 
3,71,,2005508,, ,, ,2024591, , , , , 
3,1296,,2005508,, ,, ,2024591, , , , , 
3,106,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,146,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,161,,2005649,, ,, ,2024591, ,2046082, ,2065031, 
3,167,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,172,,2005508,, ,, ,2024591, , , , , 
3,178,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,183,,2005649,, ,, ,2024591, ,2046082, ,2065031, 
3,192,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,194,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,209,,2005649,,1995582,, , , , , , , 
3,221,, ,, ,, , , , , , , 
3,227,, ,,1995582,, , , , , , , 
3,231,, ,, ,, , , , , , , 
3,236,,2005649,,1995582,,2014531,2024591,2035682,2046082, , , 
3,240,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,243,,2005649,, ,, ,2024591, ,2046082, ,2065031, 
3,244,,2005649,, ,, ,2024591, ,2046082, ,2065031, 
3,247,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,248,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,258,,2005508,, ,, ,2024591, , , , , 
3,262,, ,, ,, , , , , , , 
3,273,,2005508,, ,, ,2024591, ,2046082, , , 
3,275,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,277,, ,, ,, , , , , , , 
3,283,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,290,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,307,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,316,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,609,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,317,,2005508,, ,, , , , , , , 
3,318,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,337,, ,, ,, , , , , , , 
3,338,,2005649,,1995582,,2014531,2024591,2035682,2046082,2055091,2065031,2070182
3,347,,2005649,,1995582,,2014531,2024591, , , , , 
3,350,,2005508,, ,, ,2024591, ,2046082, , , 
3,351,,2005508,, ,, ,2024591, , , , , 
3,364,, ,, ,, , , , , , , 
3,369,,2005508,, ,, ,2024591, , , , , 
3,374,,2005649,, ,, ,2024591, , ,2055091, , 
3,383,,2005649,, ,, , , , , , , 
3,384,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,386,, ,, ,, , , , , , , 
3,387,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,394,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,395,, ,, ,, , , , , , , 
3,398,,2005649,,1995582,,2014531, , , , , , 
3,404,,2005508,, ,, ,2024591, ,2046082, ,2065031, 
3,421,,2005508,, ,, , , , , , , 
3,429,,2005508,, ,, ,2024591, ,2046082, , , 
3,1138,,2005508,, ,, ,2024591, ,2046082, , , 
3,434,,2005508,, ,, ,2024591, ,2046082, , , 
3,438,,2005508,, ,, , , , , , , 
3,596,,2005508,, ,, , , , , , , 
3,439,,2005649,, ,, ,2024591, ,2046082, ,2065031, 
3,440,,2005508,, ,, ,2024591, ,2046082, , , 
3,442,,2005649,,1995582,, ,2024591, ,2046082, ,2065031, 
